"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS",
11932,"GLI","Glen Innes Airport","Glen Innes, Australia","","",
11933,"GLK","Galcaio Airport","Galcaio, Somalia","","",
11933,"GLK","Galcaio Airport","Galcaio, Somalia","","",
11933,"GLK","Galcaio Airport","Galcaio, Somalia","","",
11934,"GLM","Glenormiston Airport","Glenormiston, Australia","","",
11935,"GLN","Goulimime Airport","Goulimime, Morocco","","",
11935,"GLN","Goulimime Airport","Goulimime, Morocco","","",
11936,"GLO","Gloucestershire","Gloucester/Cheltenham, United Kingdom","","",
11936,"GLO","Gloucestershire","Gloucester/Cheltenham, United Kingdom","","",
11937,"GLQ","Glennallen Airport","Glennallen, AK","AK","02",
11938,"GLR","Gaylord Regional","Gaylord, MI","MI","26",
11938,"GLR","Gaylord Regional","Gaylord, MI","MI","26",
11939,"GLS","Scholes Field","Galveston, TX","TX","48",
11939,"GLS","Scholes International at Galveston","Galveston, TX","TX","48",
11940,"GLT","Gladstone Airport","Gladstone, Australia","","",
11940,"GLT","Gladstone Airport","Gladstone, Australia","","",
11941,"GLV","Golovin Airport","Golovin, AK","AK","02",
11941,"GLV","Golovin Airport","Golovin, AK","AK","02",
11942,"GLW","Glasgow Municipal","Glasgow, KY","KY","21",
11943,"GMA","Gemena Airport","Gemena, Congo (Kinshasa)","","",
11943,"GMA","Gemena Airport","Gemena, Congo (Kinshasa)","","",
11944,"GMC","Guerima Airport","Guerima, Colombia","","",
11945,"GMP","Gimpo International","Seoul, South Korea","","",
11945,"GMP","Gimpo International","Seoul, South Korea","","",
11946,"GMT","Granite Mountain AFS","Granite Mountain, AK","AK","02",
11946,"GMT","Granite Mountain AS","Granite Mountain, AK","AK","02",
11947,"GMU","Greenville Downtown","Greenville, SC","SC","45",
11947,"GMU","Greenville Downtown","Greenville, SC","SC","45",
11948,"GNA","Hrodna Airport","Hrodna, Belarus","","",
11948,"GNA","Hrodna Airport","Hrodna, Belarus","","",
11949,"GNB","Saint Greirs","Grenoble, France","","",
11949,"GNB","Grenoble Isere","Grenoble, France","","",
11950,"GND","Maurice Bishop International","Grenada, Grenada","","",
11950,"GND","Maurice Bishop International","Grenada, Grenada","","",
11951,"GNR","General Roca Airport","General Roca, Argentina","","",
11951,"GNR","General Roca Airport","General Roca, Argentina","","",
11952,"GNU","Goodnews","Goodnews Bay, AK","AK","02",
11952,"GNU","Goodnews","Goodnews Bay, AK","AK","02",
11952,"GNU","Goodnews","Goodnews Bay, AK","AK","02",
11953,"GNV","Gainesville Regional","Gainesville, FL","FL","12",
11953,"GNV","Gainesville Regional","Gainesville, FL","FL","12",
11954,"GOA","Genova/Sestri","Genoa, Italy","","",
11954,"GOA","Genova/Sestri","Genoa, Italy","","",
11955,"GOB","Goba Airport","Goba, Ethiopia","","",
11956,"GOH","Nuuk Airport","Nuuk, Greenland","","",
11956,"GOH","Nuuk Airport","Nuuk, Greenland","","",
11956,"GOH","Nuuk Airport","Nuuk, Greenland","","",
11957,"DBL","Goa Airport","Goa, India","","",
11957,"GOI","Goa/Dabolim","Goa, India","","",
11957,"GOI","Goa Airport","Goa, India","","",
11957,"GOI","Goa Airport","Goa, India","","",
11957,"GOI","Goa Airport","Goa, India","","",
11958,"GOJ","Strigino","Nizhniy Novgorod, Russia","","",
11958,"GOJ","Strigino","Nizhniy Novgorod, Russia","","",
11958,"GOJ","Nizhny Novgorod","Nizhniy Novgorod, Russia","","",
11959,"GOL","Gold Beach Municipal","Gold Beach, OR","OR","41",
11959,"GOL","Gold Beach Municipal","Gold Beach, OR","OR","41",
11960,"GOM","Goma Airport","Goma, Congo (Kinshasa)","","",
11960,"GOM","Goma Airport","Goma, Congo (Kinshasa)","","",
11961,"GON","Trumbull","New London/Groton, CT","CT","09",
11961,"GON","Groton-New London","New London/Groton, CT","CT","09",
11962,"GOO","Goondiwindi Airport","Goondiwindi, Australia","","",
11962,"GOO","Goondiwindi Airport","Goondiwindi, Australia","","",
11963,"GOP","Gorakhpur Airport","Gorakhpur, India","","",
11963,"GOP","Gorakhpur Airport","Gorakhpur, India","","",
11964,"GOR","Gore Airport","Gore, Ethiopia","","",
11964,"GOR","Gore Airport","Gore, Ethiopia","","",
11964,"GOR","Gore Airport","Gore, Ethiopia","","",
11965,"GOS","Gosford Airport","Gosford, Australia","","",
11966,"GOT","Landvetter","Gothenburg, Sweden","","",
11966,"GOT","Landvetter","Gothenburg, Sweden","","",
11967,"GOU","Garoua Airport","Garoua, Cameroon","","",
11967,"GOU","Garoua Airport","Garoua, Cameroon","","",
11967,"GOU","Garoua Airport","Garoua, Cameroon","","",
11967,"GOU","Garoua Airport","Garoua, Cameroon","","",
11967,"GOU","Garoua Airport","Garoua, Cameroon","","",
11968,"GOV","Gove Airport","Gove, Australia","","",
11968,"GOV","Gove Airport","Gove, Australia","","",
11969,"GOZ","Gorna Oryahovitsa Airport","Gorna Oryahovitsa, Bulgaria","","",
11969,"GOZ","Gorna Oryahovitsa Airport","Gorna Oryahovitsa, Bulgaria","","",
11969,"GOZ","Gorna Oryahovitsa Airport","Gorna Oryahovitsa, Bulgaria","","",
11970,"GPI","Guapi Airport","Guapi, Colombia","","",
11971,"GPM","Grand Prairie Municipal","Grand Prairie, TX","TX","48",
11971,"GPM","Grand Prairie Municipal","Grand Prairie, TX","TX","48",
11972,"GPS","Baltra","Galapagos Islands, Ecuador","","",
11973,"GPT","Gulfport-Biloxi International","Gulfport/Biloxi, MS","MS","28",
11973,"GPT","Gulfport-Biloxi International","Gulfport/Biloxi, MS","MS","28",
11974,"GPZ","Grand Rapids/Itasca County-Gordon Newstrom Field","Grand Rapids, MN","MN","27",
11974,"GPZ","Grand Rapids/Itasca County-Gordon Newstrom Field","Grand Rapids, MN","MN","27",
11974,"GPZ","Grand Rapids/Itasca County-Gordon Newstrom Field","Grand Rapids, MN","MN","27",
11975,"GQQ","Horning","Galion, OH","OH","39",
11975,"GQQ","Horning","Galion, OH","OH","39",
11976,"GRA","Gamarra East","Gamarra, Colombia","","",
11976,"GRA","Gamarra East","Gamarra, Colombia","","",
11976,"GRA","Gamarra East","Gamarra, Colombia","","",
11976,"GRA","Germania","Gamarra, Colombia","","",
11976,"GRA","Germania","Gamarra, Colombia","","",
11977,"GRB","Austin Straubel International","Green Bay, WI","WI","55",
11977,"GRB","Austin Straubel International","Green Bay, WI","WI","55",
11977,"GRB","Green Bay Austin Straubel International","Green Bay, WI","WI","55",
11978,"GRD","Greenwood County","Greenwood, SC","SC","45",
11978,"GRD","Greenwood County","Greenwood, SC","SC","45",
11979,"GRF","Gray AAF","Tacoma, WA","WA","53",
11979,"GRF","Gray AAF","Tacoma, WA","WA","53",
11980,"GRI","Grand Island Air Park","Grand Island, NE","NE","31",
11980,"GRI","Central Nebraska Regional","Grand Island, NE","NE","31",
11981,"GRJ","George Airport","George, South Africa","","",
11981,"GRJ","George Airport","George, South Africa","","",
11981,"GRJ","George Airport","George, South Africa","","",
11981,"GRJ","George Airport","George, South Africa","","",
11982,"GRK","Robert Gray AAF","Killeen, TX","TX","48",
11982,"GRK","Robert Gray AAF","Killeen, TX","TX","48",
11983,"GRO","Gerona Costa Brava","Gerona, Spain","","",
11984,"GRP","Gurupi Airport","Gurupi, Brazil","","",
11984,"GRP","Gurupi Airport","Gurupi, Brazil","","",
11985,"GRQ","Eelde","Groningen, Netherlands","","",
11985,"GRQ","Eelde","Groningen, Netherlands","","",
11985,"GRQ","Eelde","Groningen, Netherlands","","",
11986,"GRR","Kent County","Grand Rapids, MI","MI","26",
11986,"GRR","Gerald R. Ford International","Grand Rapids, MI","MI","26",
11986,"GRR","Gerald R. Ford International","Grand Rapids, MI","MI","26",
11987,"GRS","Grosseto Airport","Grosseto, Italy","","",
11987,"GRS","Grosseto Airport","Grosseto, Italy","","",
11987,"GRS","Grosseto Airport","Grosseto, Italy","","",
11988,"GRU","Guarulhos Gov Andre Franco Montouro","Sao Paulo, Brazil","","",
11988,"GRU","Guarulhos Gov Andre Franco Montouro","Sao Paulo, Brazil","","",
11988,"GRU","Guarulhos Gov Andre Franco Montoro","Sao Paulo, Brazil","","",
11989,"GRW","Graciosa Island Airport","Graciosa Island, Portugal","","",
